track.name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
In a Stranger's Arms,0.517,0.435,9,-7.532,1,0.0278,0.4,0,0.123,0.335,97.931,audio_features,5Tl8bvgo5shLODXiT9ckva,spotify:track:5Tl8bvgo5shLODXiT9ckva,https://api.spotify.com/v1/tracks/5Tl8bvgo5shLODXiT9ckva,https://api.spotify.com/v1/audio-analysis/5Tl8bvgo5shLODXiT9ckva,200220,4
Rushing Back - Petit Biscuit Remix,0.62,0.6,0,-8.943,1,0.174,0.319,0.00458,0.0826,0.119,135.985,audio_features,4MI4ZR9z3kiCimG9izONuu,spotify:track:4MI4ZR9z3kiCimG9izONuu,https://api.spotify.com/v1/tracks/4MI4ZR9z3kiCimG9izONuu,https://api.spotify.com/v1/audio-analysis/4MI4ZR9z3kiCimG9izONuu,189491,4
Hardest To Love,0.467,0.608,10,-7.847,1,0.0707,0.0909,8.83e-5,0.125,0.108,80.957,audio_features,6kWxIqQDsKFYCJGbU4AjCX,spotify:track:6kWxIqQDsKFYCJGbU4AjCX,https://api.spotify.com/v1/tracks/6kWxIqQDsKFYCJGbU4AjCX,https://api.spotify.com/v1/audio-analysis/6kWxIqQDsKFYCJGbU4AjCX,211400,4
Eyes Closed,0.67,0.437,10,-15.307,1,0.0682,0.601,0.125,0.112,0.087,118.022,audio_features,3IAvRjzFpYvug5stHRPmJy,spotify:track:3IAvRjzFpYvug5stHRPmJy,https://api.spotify.com/v1/tracks/3IAvRjzFpYvug5stHRPmJy,https://api.spotify.com/v1/audio-analysis/3IAvRjzFpYvug5stHRPmJy,207267,4
Love Like This,0.456,0.815,0,-4.801,1,0.0411,0.0463,0,0.266,0.351,123.996,audio_features,3weT2tgXC6sQ0AKZcj3vwH,spotify:track:3weT2tgXC6sQ0AKZcj3vwH,https://api.spotify.com/v1/tracks/3weT2tgXC6sQ0AKZcj3vwH,https://api.spotify.com/v1/audio-analysis/3weT2tgXC6sQ0AKZcj3vwH,216347,4
Uptown Folks,0.475,0.824,11,-4.935,0,0.0395,0.0846,0.155,0.136,0.408,117.239,audio_features,5RxiYD50AlzGAINxxFoBN2,spotify:track:5RxiYD50AlzGAINxxFoBN2,https://api.spotify.com/v1/tracks/5RxiYD50AlzGAINxxFoBN2,https://api.spotify.com/v1/audio-analysis/5RxiYD50AlzGAINxxFoBN2,288014,4
Youngblood,0.638,0.402,9,-11.925,1,0.127,0.205,0,0.065,0.685,139.779,audio_features,5gSByWyYQnUpG3EFmNgHFJ,spotify:track:5gSByWyYQnUpG3EFmNgHFJ,https://api.spotify.com/v1/tracks/5gSByWyYQnUpG3EFmNgHFJ,https://api.spotify.com/v1/audio-analysis/5gSByWyYQnUpG3EFmNgHFJ,203332,4
Hold My Girl,0.614,0.527,10,-6.374,1,0.0302,0.597,0,0.11,0.354,121.941,audio_features,42bbDWZ8WmXTH7PkYAlGLu,spotify:track:42bbDWZ8WmXTH7PkYAlGLu,https://api.spotify.com/v1/tracks/42bbDWZ8WmXTH7PkYAlGLu,https://api.spotify.com/v1/audio-analysis/42bbDWZ8WmXTH7PkYAlGLu,211764,4
Midnight Sky,0.705,0.814,4,-5.466,0,0.0346,0.00115,0.00312,0.203,0.259,110,audio_features,27ycaQnQAxaPiyeg3nr2aB,spotify:track:27ycaQnQAxaPiyeg3nr2aB,https://api.spotify.com/v1/tracks/27ycaQnQAxaPiyeg3nr2aB,https://api.spotify.com/v1/audio-analysis/27ycaQnQAxaPiyeg3nr2aB,223279,4
Come Home To Me,0.66,0.193,11,-8.904,1,0.0725,0.953,0,0.0953,0.296,82.035,audio_features,2K8elWg8ihrZRwZJ7Gy6L3,spotify:track:2K8elWg8ihrZRwZJ7Gy6L3,https://api.spotify.com/v1/tracks/2K8elWg8ihrZRwZJ7Gy6L3,https://api.spotify.com/v1/audio-analysis/2K8elWg8ihrZRwZJ7Gy6L3,225868,4
