danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track.name,primary_artist,listener
0.245,0.439,6,-10.539,1,0.0418,0.8,0.477,0.342,0.0939,124.999,audio_features,7KYgg5fYYAWFCeU1A0f9G1,spotify:track:7KYgg5fYYAWFCeU1A0f9G1,https://api.spotify.com/v1/tracks/7KYgg5fYYAWFCeU1A0f9G1,https://api.spotify.com/v1/audio-analysis/7KYgg5fYYAWFCeU1A0f9G1,197714,3,closer,Brenn!,Lewis
0.768,0.506,6,-8.913,1,0.165,0.415,0.0376,0.133,0.862,77.1,audio_features,4rCuwgRRKaIiHlHDc8Bga6,spotify:track:4rCuwgRRKaIiHlHDc8Bga6,https://api.spotify.com/v1/tracks/4rCuwgRRKaIiHlHDc8Bga6,https://api.spotify.com/v1/audio-analysis/4rCuwgRRKaIiHlHDc8Bga6,51914,4,We Might Even Be Falling In Love (Interlude),Victoria Monét,Lewis
0.874,0.812,1,-5.499,1,0.114,0.0191,8.46e-4,0.113,0.465,138.047,audio_features,1kn9JsBWIw6qREhDWw0lKb,spotify:track:1kn9JsBWIw6qREhDWw0lKb,https://api.spotify.com/v1/tracks/1kn9JsBWIw6qREhDWw0lKb,https://api.spotify.com/v1/audio-analysis/1kn9JsBWIw6qREhDWw0lKb,167000,4,Ma Boy,Dreamville,Lewis
0.637,0.651,2,-7.089,1,0.0521,0.32,0,0.0938,0.485,115.926,audio_features,7ByxizhA4GgEf7Sxomxhze,spotify:track:7ByxizhA4GgEf7Sxomxhze,https://api.spotify.com/v1/tracks/7ByxizhA4GgEf7Sxomxhze,https://api.spotify.com/v1/audio-analysis/7ByxizhA4GgEf7Sxomxhze,251511,4,All My Love,Noah Kahan,Lewis
0.464,0.774,7,-7.761,1,0.0406,0.253,0.00377,0.181,0.419,146.202,audio_features,2NS5hylxl4QNQcD6Vjmtpj,spotify:track:2NS5hylxl4QNQcD6Vjmtpj,https://api.spotify.com/v1/tracks/2NS5hylxl4QNQcD6Vjmtpj,https://api.spotify.com/v1/audio-analysis/2NS5hylxl4QNQcD6Vjmtpj,296333,4,True Blue,boygenius,Lewis
0.555,0.613,7,-6.917,1,0.0329,0.00949,0.0236,0.123,0.42,117.973,audio_features,6KHYVC9avWQMH40pidRtcG,spotify:track:6KHYVC9avWQMH40pidRtcG,https://api.spotify.com/v1/tracks/6KHYVC9avWQMH40pidRtcG,https://api.spotify.com/v1/audio-analysis/6KHYVC9avWQMH40pidRtcG,200093,3,$20,boygenius,Lewis
0.578,0.385,11,-12.167,1,0.0534,0.903,0.258,0.101,0.462,135.895,audio_features,2CuBUQZY5SmOaISKWUO9m9,spotify:track:2CuBUQZY5SmOaISKWUO9m9,https://api.spotify.com/v1/tracks/2CuBUQZY5SmOaISKWUO9m9,https://api.spotify.com/v1/audio-analysis/2CuBUQZY5SmOaISKWUO9m9,214867,4,Emily I'm Sorry,boygenius,Lewis
0.358,0.839,2,-5.342,1,0.203,3.1e-4,8.1e-4,0.101,0.211,84.85,audio_features,4FFec7v5TnYdwNzyrmBGM9,spotify:track:4FFec7v5TnYdwNzyrmBGM9,https://api.spotify.com/v1/tracks/4FFec7v5TnYdwNzyrmBGM9,https://api.spotify.com/v1/audio-analysis/4FFec7v5TnYdwNzyrmBGM9,192716,4,Selfish,slowthai,Lewis
0.603,0.461,0,-9.066,1,0.0729,0.549,0,0.104,0.214,113.948,audio_features,3onPL6KjCPM0K8wZkDeU7y,spotify:track:3onPL6KjCPM0K8wZkDeU7y,https://api.spotify.com/v1/tracks/3onPL6KjCPM0K8wZkDeU7y,https://api.spotify.com/v1/audio-analysis/3onPL6KjCPM0K8wZkDeU7y,181750,4,A Troubled Mind,Noah Kahan,Lewis
0.679,0.557,0,-7.423,1,0.0281,0.0904,0.0324,0.0866,0.405,85.152,audio_features,6vUPPEN2V2lZ78b6DyEIjZ,spotify:track:6vUPPEN2V2lZ78b6DyEIjZ,https://api.spotify.com/v1/tracks/6vUPPEN2V2lZ78b6DyEIjZ,https://api.spotify.com/v1/audio-analysis/6vUPPEN2V2lZ78b6DyEIjZ,303133,4,What It's Like,Everlast,Lewis
0.368,0.314,0,-8.491,1,0.0316,0.796,1.69e-6,0.126,0.371,109.143,audio_features,3DXEbjIftmPeBj638CxyJD,spotify:track:3DXEbjIftmPeBj638CxyJD,https://api.spotify.com/v1/tracks/3DXEbjIftmPeBj638CxyJD,https://api.spotify.com/v1/audio-analysis/3DXEbjIftmPeBj638CxyJD,171663,4,Deep End,Holly Humberstone,Lewis
0.567,0.235,11,-13.57,1,0.0322,0.454,6.67e-6,0.0938,0.265,81.678,audio_features,2CxLla7i6lur02aOVMHPMK,spotify:track:2CxLla7i6lur02aOVMHPMK,https://api.spotify.com/v1/tracks/2CxLla7i6lur02aOVMHPMK,https://api.spotify.com/v1/audio-analysis/2CxLla7i6lur02aOVMHPMK,264908,4,Someday - triple j Like A Version,Julia Jacklin,Lewis
0.352,0.611,11,-6.917,0,0.0395,0.455,0.195,0.0952,0.198,79.858,audio_features,2SiNnD3em2ZwKT1oY0fIpo,spotify:track:2SiNnD3em2ZwKT1oY0fIpo,https://api.spotify.com/v1/tracks/2SiNnD3em2ZwKT1oY0fIpo,https://api.spotify.com/v1/audio-analysis/2SiNnD3em2ZwKT1oY0fIpo,173523,4,But You,Alexandra Savior,Lewis
0.644,0.725,11,-4.618,1,0.0701,0.0112,0,0.146,0.584,77.977,audio_features,0x1LCpY9Rgeq97VPajm81B,spotify:track:0x1LCpY9Rgeq97VPajm81B,https://api.spotify.com/v1/tracks/0x1LCpY9Rgeq97VPajm81B,https://api.spotify.com/v1/audio-analysis/0x1LCpY9Rgeq97VPajm81B,222053,4,Cyclone (feat. T-Pain) - Main,Baby Bash,Lewis
0.52,0.287,0,-11.775,1,0.0385,0.906,0,0.0756,0.213,151.185,audio_features,6QtBvQVb03I6ex0fXMf9ga,spotify:track:6QtBvQVb03I6ex0fXMf9ga,https://api.spotify.com/v1/tracks/6QtBvQVb03I6ex0fXMf9ga,https://api.spotify.com/v1/audio-analysis/6QtBvQVb03I6ex0fXMf9ga,230660,4,Raleigh,Beulahbelle,Lewis
0.364,0.294,0,-6.578,0,0.0504,0.833,0,0.264,0.125,79.477,audio_features,2VFetGqLYq0Pc8ZtRYCaeL,spotify:track:2VFetGqLYq0Pc8ZtRYCaeL,https://api.spotify.com/v1/tracks/2VFetGqLYq0Pc8ZtRYCaeL,https://api.spotify.com/v1/audio-analysis/2VFetGqLYq0Pc8ZtRYCaeL,227749,3,In The Kitchen,Reneé Rapp,Lewis
0.698,0.546,0,-7.234,0,0.0559,0.425,0.00314,0.16,0.335,145.044,audio_features,2GAhgAjOhEmItWLfgisyOn,spotify:track:2GAhgAjOhEmItWLfgisyOn,https://api.spotify.com/v1/tracks/2GAhgAjOhEmItWLfgisyOn,https://api.spotify.com/v1/audio-analysis/2GAhgAjOhEmItWLfgisyOn,181080,4,Low,SZA,Lewis
0.604,0.666,4,-6.505,1,0.372,0.544,0,0.128,0.683,93.542,audio_features,65dO13qYabE4LDdQmjU4p6,spotify:track:65dO13qYabE4LDdQmjU4p6,https://api.spotify.com/v1/tracks/65dO13qYabE4LDdQmjU4p6,https://api.spotify.com/v1/audio-analysis/65dO13qYabE4LDdQmjU4p6,297668,4,Crack Sandwich,JID,Lewis
0.786,0.475,1,-10.902,1,0.248,0.0919,9.6e-6,0.176,0.264,135,audio_features,2WrldKXSBVbNNm3A9vJryi,spotify:track:2WrldKXSBVbNNm3A9vJryi,https://api.spotify.com/v1/tracks/2WrldKXSBVbNNm3A9vJryi,https://api.spotify.com/v1/audio-analysis/2WrldKXSBVbNNm3A9vJryi,227556,4,Dance Now (feat. Kenny Mason),JID,Lewis
0.431,0.284,2,-11.858,1,0.0432,0.871,1.36e-4,0.0899,0.229,98.317,audio_features,7x8pIrhMu9FCmqqHNyuH0P,spotify:track:7x8pIrhMu9FCmqqHNyuH0P,https://api.spotify.com/v1/tracks/7x8pIrhMu9FCmqqHNyuH0P,https://api.spotify.com/v1/audio-analysis/7x8pIrhMu9FCmqqHNyuH0P,204067,1,cellophane,FKA twigs,Lewis
0.684,0.671,7,-4.392,0,0.0464,0.189,2.37e-5,0.122,0.156,88.048,audio_features,2Hh3ETdQKrmSI3QS0hme7g,spotify:track:2Hh3ETdQKrmSI3QS0hme7g,https://api.spotify.com/v1/tracks/2Hh3ETdQKrmSI3QS0hme7g,https://api.spotify.com/v1/audio-analysis/2Hh3ETdQKrmSI3QS0hme7g,199920,4,Too Many Nights (feat. Don Toliver & with Future),Metro Boomin,Lewis
0.709,0.734,1,-5.027,1,0.125,0.0411,0,0.346,0.245,143.087,audio_features,2VtgzixdB967bHDNu5A1nh,spotify:track:2VtgzixdB967bHDNu5A1nh,https://api.spotify.com/v1/tracks/2VtgzixdB967bHDNu5A1nh,https://api.spotify.com/v1/audio-analysis/2VtgzixdB967bHDNu5A1nh,174560,4,Metro Spider (with Young Thug),Metro Boomin,Lewis
0.559,0.719,4,-7.897,0,0.156,0.149,4.2e-6,0.46,0.532,76.184,audio_features,6ZGoFntcQUWTPGGQPQmecY,spotify:track:6ZGoFntcQUWTPGGQPQmecY,https://api.spotify.com/v1/tracks/6ZGoFntcQUWTPGGQPQmecY,https://api.spotify.com/v1/audio-analysis/6ZGoFntcQUWTPGGQPQmecY,224630,4,Kody Blu 31,JID,Lewis
0.514,0.779,10,-4.365,0,0.344,0.181,0,0.099,0.517,152.869,audio_features,28qA8y1sz0FTuSapsCxNOG,spotify:track:28qA8y1sz0FTuSapsCxNOG,https://api.spotify.com/v1/tracks/28qA8y1sz0FTuSapsCxNOG,https://api.spotify.com/v1/audio-analysis/28qA8y1sz0FTuSapsCxNOG,222497,4,Father Time (feat. Sampha),Kendrick Lamar,Lewis
0.521,0.526,5,-6.032,1,0.0281,0.243,0.00537,0.108,0.502,130.694,audio_features,37zuIvk4KBkAxxLJsxJaHq,spotify:track:37zuIvk4KBkAxxLJsxJaHq,https://api.spotify.com/v1/tracks/37zuIvk4KBkAxxLJsxJaHq,https://api.spotify.com/v1/audio-analysis/37zuIvk4KBkAxxLJsxJaHq,268293,4,Would That I,Hozier,Lewis
0.628,0.5,6,-9.66,0,0.0268,0.44,0,0.244,0.68,124.932,audio_features,0GegHVxeozw3rdjte45Bfx,spotify:track:0GegHVxeozw3rdjte45Bfx,https://api.spotify.com/v1/tracks/0GegHVxeozw3rdjte45Bfx,https://api.spotify.com/v1/audio-analysis/0GegHVxeozw3rdjte45Bfx,147027,4,White Winter Hymnal,Fleet Foxes,Lewis
0.637,0.695,2,-8.791,1,0.189,0.469,2.95e-6,0.569,0.521,90.045,audio_features,38PjQxCq5iXGPMTvvcH8dK,spotify:track:38PjQxCq5iXGPMTvvcH8dK,https://api.spotify.com/v1/tracks/38PjQxCq5iXGPMTvvcH8dK,https://api.spotify.com/v1/audio-analysis/38PjQxCq5iXGPMTvvcH8dK,106093,4,Gold Teeth,BROCKHAMPTON,Lewis
0.723,0.478,8,-8.589,1,0.17,0.141,0,0.214,0.817,88.751,audio_features,0dRMqHJre73e9V0wOfwV6u,spotify:track:0dRMqHJre73e9V0wOfwV6u,https://api.spotify.com/v1/tracks/0dRMqHJre73e9V0wOfwV6u,https://api.spotify.com/v1/audio-analysis/0dRMqHJre73e9V0wOfwV6u,166947,4,All That,BROCKHAMPTON,Lewis
0.624,0.433,6,-9.572,1,0.0467,0.837,0.0294,0.113,0.589,124.979,audio_features,4h5x3XHLVYFJaItKuO2rhy,spotify:track:4h5x3XHLVYFJaItKuO2rhy,https://api.spotify.com/v1/tracks/4h5x3XHLVYFJaItKuO2rhy,https://api.spotify.com/v1/audio-analysis/4h5x3XHLVYFJaItKuO2rhy,218587,4,Ghost in the Machine (feat. Phoebe Bridgers),SZA,Lewis
0.428,0.439,5,-7.674,1,0.0591,0.57,0,0.153,0.418,150.007,audio_features,2Sjx8DWZO5zaTyTAmgo2gY,spotify:track:2Sjx8DWZO5zaTyTAmgo2gY,https://api.spotify.com/v1/tracks/2Sjx8DWZO5zaTyTAmgo2gY,https://api.spotify.com/v1/audio-analysis/2Sjx8DWZO5zaTyTAmgo2gY,244027,4,Gone Girl,SZA,Lewis
0.431,0.34,0,-9.384,1,0.0311,0.794,0.0108,0.12,0.0529,119.877,audio_features,5U1OEoEW4xnalSAToamwZL,spotify:track:5U1OEoEW4xnalSAToamwZL,https://api.spotify.com/v1/tracks/5U1OEoEW4xnalSAToamwZL,https://api.spotify.com/v1/audio-analysis/5U1OEoEW4xnalSAToamwZL,285051,4,Did you know that there's a tunnel under Ocean Blvd,Lana Del Rey,Lewis
0.746,0.497,10,-8.313,1,0.227,0.511,2.2e-5,0.0988,0.169,93.971,audio_features,0OoNzMdPSgbkM5MkcuEZfm,spotify:track:0OoNzMdPSgbkM5MkcuEZfm,https://api.spotify.com/v1/tracks/0OoNzMdPSgbkM5MkcuEZfm,https://api.spotify.com/v1/audio-analysis/0OoNzMdPSgbkM5MkcuEZfm,174707,4,Lock On Me (with Travis Scott & Future),Metro Boomin,Lewis
0.691,0.534,9,-13.298,0,0.0324,0.228,0.00827,0.0986,0.774,139.958,audio_features,3RSnbJiWwd3hP4d7T5D0w5,spotify:track:3RSnbJiWwd3hP4d7T5D0w5,https://api.spotify.com/v1/tracks/3RSnbJiWwd3hP4d7T5D0w5,https://api.spotify.com/v1/audio-analysis/3RSnbJiWwd3hP4d7T5D0w5,199500,4,02:00 AM,Sarah Crean,Lewis
0.671,0.658,2,-5.567,1,0.309,0.189,8.66e-5,0.147,0.257,87.933,audio_features,4WuOWVnAqvEQxgSRrspBgt,spotify:track:4WuOWVnAqvEQxgSRrspBgt,https://api.spotify.com/v1/tracks/4WuOWVnAqvEQxgSRrspBgt,https://api.spotify.com/v1/audio-analysis/4WuOWVnAqvEQxgSRrspBgt,207307,4,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],Metro Boomin,Lewis
0.526,0.606,5,-5.3,0,0.259,0.152,2.36e-6,0.194,0.492,116.622,audio_features,0vjeOZ3Ft5jvAi9SBFJm1j,spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,https://api.spotify.com/v1/tracks/0vjeOZ3Ft5jvAi9SBFJm1j,https://api.spotify.com/v1/audio-analysis/0vjeOZ3Ft5jvAi9SBFJm1j,182667,4,Superhero (Heroes & Villains) [with Future & Chris Brown],Metro Boomin,Lewis
0.825,0.78,11,-3.705,0,0.142,0.0923,7.96e-5,0.361,0.379,111.004,audio_features,31De8hk4QgDsbS26w06h21,spotify:track:31De8hk4QgDsbS26w06h21,https://api.spotify.com/v1/tracks/31De8hk4QgDsbS26w06h21,https://api.spotify.com/v1/audio-analysis/31De8hk4QgDsbS26w06h21,222000,4,Umbrella (with 21 Savage & Young Nudy),Metro Boomin,Lewis
0.834,0.58,4,-7.035,0,0.0596,0.0707,0.00184,0.641,0.291,111.975,audio_features,6SeNRCX36QFj0nm89vTDxZ,spotify:track:6SeNRCX36QFj0nm89vTDxZ,https://api.spotify.com/v1/tracks/6SeNRCX36QFj0nm89vTDxZ,https://api.spotify.com/v1/audio-analysis/6SeNRCX36QFj0nm89vTDxZ,167400,4,All The Money (with Gunna) [Bonus],Metro Boomin,Lewis
0.49,0.779,5,-5.938,0,0.317,0.092,0,0.319,0.4,177.944,audio_features,27RDADqLHPALTugdGEyGtG,spotify:track:27RDADqLHPALTugdGEyGtG,https://api.spotify.com/v1/tracks/27RDADqLHPALTugdGEyGtG,https://api.spotify.com/v1/audio-analysis/27RDADqLHPALTugdGEyGtG,189427,3,Feel The Fiyaaaah (with A$AP Rocky & feat. Takeoff),Metro Boomin,Lewis
0.713,0.611,1,-5.993,0,0.0507,0.361,0,0.0803,0.173,97.936,audio_features,64BuLY7ggczC17w5LSUlSE,spotify:track:64BuLY7ggczC17w5LSUlSE,https://api.spotify.com/v1/tracks/64BuLY7ggczC17w5LSUlSE,https://api.spotify.com/v1/audio-analysis/64BuLY7ggczC17w5LSUlSE,221520,4,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,Lewis
0.543,0.525,5,-8.714,0,0.277,0.148,3.94e-4,0.213,0.184,151.267,audio_features,639ue9j47l2tnsXBdkKN0T,spotify:track:639ue9j47l2tnsXBdkKN0T,https://api.spotify.com/v1/tracks/639ue9j47l2tnsXBdkKN0T,https://api.spotify.com/v1/audio-analysis/639ue9j47l2tnsXBdkKN0T,310960,4,Walk Em Down (Don't Kill Civilians) [with 21 Savage & feat. Mustafa],Metro Boomin,Lewis
0.502,0.641,1,-6.271,1,0.467,0.269,5.01e-6,0.197,0.212,75.008,audio_features,16jl1W58vcK8Jd5ZGbvd5f,spotify:track:16jl1W58vcK8Jd5ZGbvd5f,https://api.spotify.com/v1/tracks/16jl1W58vcK8Jd5ZGbvd5f,https://api.spotify.com/v1/audio-analysis/16jl1W58vcK8Jd5ZGbvd5f,268667,4,"Pro Freak (with Doechii, Fatman Scoop)",Smino,Lewis
0.768,0.626,7,-6.516,1,0.125,0.215,2.63e-5,0.144,0.551,147.77,audio_features,078lbDGGTqBuTKU3bypXxQ,spotify:track:078lbDGGTqBuTKU3bypXxQ,https://api.spotify.com/v1/tracks/078lbDGGTqBuTKU3bypXxQ,https://api.spotify.com/v1/audio-analysis/078lbDGGTqBuTKU3bypXxQ,208270,4,90 Proof (with J. Cole),Smino,Lewis
0.918,0.517,2,-7.085,1,0.156,0.0365,0,0.0998,0.158,131.983,audio_features,5no1uAP51SFQzZqITUxsfG,spotify:track:5no1uAP51SFQzZqITUxsfG,https://api.spotify.com/v1/tracks/5no1uAP51SFQzZqITUxsfG,https://api.spotify.com/v1/audio-analysis/5no1uAP51SFQzZqITUxsfG,102873,4,6000 Degrees (AH HA),$hyfromdatre,Lewis
0.823,0.768,11,-6.21,1,0.0819,0.0146,1.03e-6,0.127,0.216,115.021,audio_features,3SEd8nPd8MpGwk6ZZ8tk2j,spotify:track:3SEd8nPd8MpGwk6ZZ8tk2j,https://api.spotify.com/v1/tracks/3SEd8nPd8MpGwk6ZZ8tk2j,https://api.spotify.com/v1/audio-analysis/3SEd8nPd8MpGwk6ZZ8tk2j,274320,4,Mamacita (feat. Rich Homie Quan & Young Thug),Travis Scott,Lewis
0.824,0.667,10,-6.603,0,0.0814,0.00321,2.65e-6,0.0956,0.305,82.037,audio_features,6egtB3hmrBOqVol9cU6rge,spotify:track:6egtB3hmrBOqVol9cU6rge,https://api.spotify.com/v1/tracks/6egtB3hmrBOqVol9cU6rge,https://api.spotify.com/v1/audio-analysis/6egtB3hmrBOqVol9cU6rge,207933,4,FOR A NUT (feat. Gunna & Young Thug),Future,Lewis
0.883,0.657,8,-5.748,1,0.305,0.0603,0,0.128,0.284,124.992,audio_features,1qMMYpVatbRITKCfq1gasi,spotify:track:1qMMYpVatbRITKCfq1gasi,https://api.spotify.com/v1/tracks/1qMMYpVatbRITKCfq1gasi,https://api.spotify.com/v1/audio-analysis/1qMMYpVatbRITKCfq1gasi,172933,4,PUFFIN ON ZOOTIEZ,Future,Lewis
0.652,0.578,0,-6.187,1,0.161,0.00861,0,0.285,0.195,87.395,audio_features,4Ew8VKrbgrjCt9r2AuItFm,spotify:track:4Ew8VKrbgrjCt9r2AuItFm,https://api.spotify.com/v1/tracks/4Ew8VKrbgrjCt9r2AuItFm,https://api.spotify.com/v1/audio-analysis/4Ew8VKrbgrjCt9r2AuItFm,207213,4,KEEP IT BURNIN (feat. Kanye West),Future,Lewis
0.851,0.819,7,-5.173,1,0.212,0.337,1.53e-4,0.0658,0.903,83.154,audio_features,5unjCay0kUjuej5ebn4nS4,spotify:track:5unjCay0kUjuej5ebn4nS4,https://api.spotify.com/v1/tracks/5unjCay0kUjuej5ebn4nS4,https://api.spotify.com/v1/audio-analysis/5unjCay0kUjuej5ebn4nS4,164041,3,Down In Atlanta,Pharrell Williams,Lewis
0.647,0.686,3,-5.745,0,0.0413,0.08,1.34e-6,0.528,0.268,79.928,audio_features,3k3NWokhRRkEPhCzPmV8TW,spotify:track:3k3NWokhRRkEPhCzPmV8TW,https://api.spotify.com/v1/tracks/3k3NWokhRRkEPhCzPmV8TW,https://api.spotify.com/v1/audio-analysis/3k3NWokhRRkEPhCzPmV8TW,258299,4,Ojitos Lindos,Bad Bunny,Lewis
0.736,0.737,7,-7.726,1,0.0437,0.0732,0.631,0.109,0.534,145.006,audio_features,3UdquFlgsSBKueNRHgjOiG,spotify:track:3UdquFlgsSBKueNRHgjOiG,https://api.spotify.com/v1/tracks/3UdquFlgsSBKueNRHgjOiG,https://api.spotify.com/v1/audio-analysis/3UdquFlgsSBKueNRHgjOiG,240600,4,MAN ON THE MOON,BROCKHAMPTON,Lewis
0.699,0.713,11,-7.129,1,0.192,0.0953,0,0.224,0.75,83.085,audio_features,1sNBHeUSm0zmol4taxYhzY,spotify:track:1sNBHeUSm0zmol4taxYhzY,https://api.spotify.com/v1/tracks/1sNBHeUSm0zmol4taxYhzY,https://api.spotify.com/v1/audio-analysis/1sNBHeUSm0zmol4taxYhzY,117333,4,KEEP IT SOUTHERN,BROCKHAMPTON,Lewis
0.809,0.557,6,-9.645,0,0.247,0.175,4.41e-6,0.122,0.734,158.048,audio_features,4Cy0RmJ3wVnlfdDlzqoZ1H,spotify:track:4Cy0RmJ3wVnlfdDlzqoZ1H,https://api.spotify.com/v1/tracks/4Cy0RmJ3wVnlfdDlzqoZ1H,https://api.spotify.com/v1/audio-analysis/4Cy0RmJ3wVnlfdDlzqoZ1H,198293,4,NEW SHOES,BROCKHAMPTON,Lewis
0.632,0.714,1,-8.924,0,0.063,0.118,0.926,0.12,0.313,159.938,audio_features,2CxjDTsUBmVlcMjjy2UETJ,spotify:track:2CxjDTsUBmVlcMjjy2UETJ,https://api.spotify.com/v1/tracks/2CxjDTsUBmVlcMjjy2UETJ,https://api.spotify.com/v1/audio-analysis/2CxjDTsUBmVlcMjjy2UETJ,157944,4,ULTRA VIOLET,Thouxanbanfauni,Lewis
0.644,0.671,11,-5.156,0,0.315,0.0225,0,0.0855,0.563,132.001,audio_features,5vhrsx08dHh2QcVh1Rsiwt,spotify:track:5vhrsx08dHh2QcVh1Rsiwt,https://api.spotify.com/v1/tracks/5vhrsx08dHh2QcVh1Rsiwt,https://api.spotify.com/v1/audio-analysis/5vhrsx08dHh2QcVh1Rsiwt,250723,4,LONDON (feat. J. Cole),BIA,Lewis
0.378,0.196,0,-12.5,1,0.0561,0.842,2.76e-5,0.105,0.0995,119.037,audio_features,7BpykYGkewMF00FzSJLSgH,spotify:track:7BpykYGkewMF00FzSJLSgH,https://api.spotify.com/v1/tracks/7BpykYGkewMF00FzSJLSgH,https://api.spotify.com/v1/audio-analysis/7BpykYGkewMF00FzSJLSgH,224947,5,home with you,FKA twigs,Lewis
0.766,0.571,4,-9.764,1,0.0385,0.43,0.135,0.142,0.716,93.075,audio_features,5MnLof1o5Wu4hX5zWgMjZY,spotify:track:5MnLof1o5Wu4hX5zWgMjZY,https://api.spotify.com/v1/tracks/5MnLof1o5Wu4hX5zWgMjZY,https://api.spotify.com/v1/audio-analysis/5MnLof1o5Wu4hX5zWgMjZY,149423,4,Wasted,Tomberlin,Lewis
